source_file,line_input_file,boot_mask_file,valid_fragments_file,merged_lines_file,overlay_file,json_file,width,height,processing_step,green_components_count,valid_fragments_count,merged_lines_count,line_id,fragment_count,source_fragment_ids,x1,y1,x2,y2,length,angle_deg,mask_coverage,max_gap_pixels_used,max_lateral_offset_px,fit_rms_px,score
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m001,1,f0049,988.322,793.306,960.213,1395.788,603.137,-87.329,1.0,0.0,0.0,0.0,602.9412
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m002,1,f0051,961.865,827.399,1065.104,1786.35,964.492,83.855,1.0,0.0,0.0,0.0,964.1878
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m003,1,f0028,1062.025,703.121,1031.595,1662.627,959.988,-88.184,1.0,0.0,0.0,0.0,959.936
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m004,2,f0036|f0039,1079.08,686.252,1027.594,1647.023,962.15,-86.933,1.0,3.938,0.383,0.191,809.3486
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m005,1,f0073,1291.58,632.847,1211.583,2331.075,1700.111,-87.303,1.0,0.0,0.0,0.0,1699.6881
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m006,2,f0099|f0112,1279.535,634.456,1225.695,2383.722,1750.095,-88.237,1.0,8.996,0.152,0.089,1351.7837
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m007,1,f0078,1281.376,635.015,1274.328,2440.995,1805.994,-89.776,1.0,0.0,0.0,0.0,1805.8648
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m008,1,f0101,1415.969,639.072,1219.689,2360.863,1732.942,-83.497,1.0,0.0,0.0,0.0,1732.7707
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m009,1,f0124,1299.661,633.245,1339.448,2439.849,1807.042,88.738,1.0,0.0,0.0,0.0,1806.2361
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m010,1,f0100,1231.579,643.439,1447.151,2436.797,1806.269,83.146,1.0,0.0,0.0,0.0,1805.6312
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m011,1,f0041,1338.952,631.015,1366.674,2329.822,1699.034,89.065,1.0,0.0,0.0,0.0,1698.8988
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m012,1,f0079,1272.126,635.929,1495.765,2427.692,1805.666,82.885,1.0,0.0,0.0,0.0,1805.5073
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m013,1,f0117,1435.643,643.05,1364.113,2437.531,1795.906,-87.717,1.0,0.0,0.0,0.0,1795.843
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m014,1,f0071,1381.668,634.961,1512.914,2422.893,1792.743,85.802,1.0,0.0,0.0,0.0,1792.6139
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m015,2,f0119|f0123,1414.636,639.968,1520.45,2421.174,1784.346,86.6,1.0,9.254,2.22,0.912,824.7246
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m016,1,f0031,1643.925,680.449,1452.863,2153.67,1485.559,-82.611,1.0,0.0,0.0,0.0,1485.4334
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m017,1,f0074,1567.246,662.09,1602.538,2391.774,1730.044,88.831,1.0,0.0,0.0,0.0,1729.8679
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m018,1,f0137,1673.909,847.272,1500.281,2427.21,1589.451,-83.729,1.0,0.0,0.0,0.001,1587.9762
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m019,1,f0032,1537.818,658.828,1714.244,2084.685,1436.73,82.946,1.0,0.0,0.0,0.0,1436.6709
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m020,1,f0040,1631.5,677.0,1629.755,2191.0,1514.0,-89.934,1.0,0.0,0.0,0.0,1513.802
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m021,1,f0085,1674.035,688.753,1605.545,2392.312,1704.936,-87.698,1.0,0.0,0.0,0.0,1704.5359
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m022,1,f0136,1763.685,829.328,1555.258,2409.754,1594.111,-82.487,1.0,0.0,0.0,0.0,1593.9563
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m023,1,f0052,1614.139,673.596,1705.125,2358.284,1687.143,86.909,1.0,0.0,0.0,0.0,1686.9483
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m024,2,f0098|f0108,1599.176,669.267,1738.87,2347.637,1684.173,85.242,1.0,0.0,5.895,3.011,439.2561
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m025,1,f0054,1623.588,674.786,1734.293,2348.516,1677.387,86.216,1.0,0.0,0.0,0.0,1677.0124
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m026,1,f0058,1685.492,690.006,1679.441,2366.994,1677.0,-89.793,1.0,0.0,0.0,0.0,1676.5701
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m027,1,f0093,1830.294,725.059,1575.506,2402.837,1697.014,-81.365,1.0,0.0,0.0,0.0,1696.3889
IMG_0502.png,data\processed\04_lines_hough\IMG_0502.png,data\processed\05_boot_roi\boot_mask\IMG_0502.png,data\processed\06_complete_line_fragments\valid_fragments\IMG_0502.png,data\processed\06_complete_line_fragments\merged_lines\IMG_0502.png,data\processed\06_complete_line_fragments\overlay\IMG_0502.png,data\processed\06_complete_line_fragments\json\IMG_0502.json,3024,4032,06_complete_line_fragments,161,40,36,m028,1,f0122,1801.049,718.944,1611.569,2389.721,1681.487,-83.53,1.0,0.0,0.0,0.0,1681.4182
